frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
67,car,0.5115295648574829,7,0,515,193,609,0.0,0,0,0,0,
68,car,0.8718668222427368,1,1192,548,1487,778,0.8053784966468811,1278,640,1369,678,3871 L7
68,person,0.8365818858146667,2,1802,545,1875,732,0.0,0,0,0,0,
68,car,0.7337420582771301,3,1110,590,1211,676,0.0,0,0,0,0,
68,person,0.618015468120575,13,1881,615,1919,736,0.0,0,0,0,0,
68,car,0.5329025387763977,7,0,515,222,611,0.0,0,0,0,0,
69,car,0.8750531673431396,1,1193,548,1487,778,0.8113556504249573,1279,639,1370,678,03871 p
69,person,0.8336517810821533,2,1802,546,1875,732,0.0,0,0,0,0,
69,car,0.728187084197998,3,1111,591,1212,675,0.0,0,0,0,0,
69,person,0.6024032235145569,13,1883,615,1919,738,0.0,0,0,0,0,
69,car,0.5141756534576416,7,0,514,231,611,0.0,0,0,0,0,
70,car,0.8773117065429688,1,1194,548,1488,778,0.8020462989807129,1279,639,1371,678,387 1 [u
70,person,0.8341347575187683,2,1802,547,1875,732,0.0,0,0,0,0,
70,car,0.7460907697677612,3,1112,591,1212,675,0.0,0,0,0,0,
70,person,0.605524480342865,13,1886,614,1919,738,0.0,0,0,0,0,
71,car,0.8804178237915039,1,1196,548,1488,778,0.7930817604064941,1279,639,1369,678,4387 1 4|
71,person,0.8372405767440796,2,1802,547,1875,732,0.0,0,0,0,0,
71,car,0.7949497103691101,3,1112,592,1213,674,0.0,0,0,0,0,
71,person,0.5786701440811157,13,1888,613,1919,737,0.0,0,0,0,0,
71,car,0.5404492616653442,7,0,514,222,609,0.0,0,0,0,0,
72,car,0.875072181224823,1,1197,547,1488,777,0.8029302358627319,1279,638,1370,678,4387 1 [JE
72,person,0.8353511691093445,2,1803,547,1875,732,0.0,0,0,0,0,
72,car,0.7951939105987549,3,1113,591,1215,674,0.0,0,0,0,0,
72,person,0.5670779347419739,13,1888,613,1919,735,0.0,0,0,0,0,
73,car,0.8868515491485596,1,1197,547,1488,777,0.7850478291511536,1280,638,1370,678,43871 H
73,person,0.8285424709320068,2,1803,547,1875,732,0.0,0,0,0,0,
73,car,0.8071755170822144,3,1114,591,1215,673,0.0,0,0,0,0,
73,person,0.5791071653366089,13,1886,613,1919,733,0.0,0,0,0,0,
74,car,0.8902273774147034,1,1198,547,1488,777,0.7884250283241272,1281,638,1371,678,03871 [V
74,person,0.822464644908905,2,1802,548,1874,733,0.0,0,0,0,0,
74,car,0.8200238943099976,3,1114,592,1216,673,0.0,0,0,0,0,
74,person,0.5697953701019287,13,1885,612,1919,733,0.0,0,0,0,0,
75,car,0.8881394863128662,1,1200,547,1488,777,0.8178315162658691,1282,638,1370,677,43871 LIE
75,person,0.8184623718261719,2,1802,549,1873,734,0.0,0,0,0,0,
75,car,0.8311410546302795,3,1115,592,1215,673,0.0,0,0,0,0,
75,person,0.5632709860801697,13,1889,611,1919,733,0.0,0,0,0,0,
75,car,0.5757142305374146,7,0,513,210,608,0.0,0,0,0,0,
76,car,0.8870934844017029,1,1200,547,1489,777,0.81223464012146,1281,638,1372,678,43871
76,person,0.8125758171081543,2,1803,549,1872,734,0.0,0,0,0,0,
76,car,0.8317930698394775,3,1116,592,1215,673,0.0,0,0,0,0,
76,person,0.5499590635299683,13,1893,610,1919,733,0.0,0,0,0,0,
76,car,0.6095767617225647,7,0,512,207,608,0.0,0,0,0,0,
77,car,0.8847247362136841,1,1201,548,1489,776,0.8276878595352173,1281,638,1369,677,43871 LIL
77,person,0.8121532797813416,2,1804,549,1872,733,0.0,0,0,0,0,
77,car,0.8171168565750122,3,1118,592,1215,672,0.0,0,0,0,0,
77,person,0.5510698556900024,13,1895,610,1919,733,0.0,0,0,0,0,
